随机元素,您是否同意参加本次研究？,您线上购买服饰的频率？,您是否购买过与 AI 相关的产品或服务？,您的年龄,如果由您决定，您最多愿意为这件 T-shirt 支付多少钱？（0-500）,我愿意为这件 T-shirt 支付较高的价格。,我认为这件 T-shirt 值得这个价格。,我认为这种设计来源是可靠的。,我相信这种设计来源能够完成高质量的产品设计。,总体而言，我信任这种设计来源,我对人工智能（AI）有基本了解,我平时经常接触 AI 工具或应用,我比较熟悉 AI 在产品设计中的应用,我认为这件 T-shirt 是由 AI 完成设计的。,我认为这件 T-shirt 属于附加价值较高的产品。,,,
实验情境4,我同意并愿意继续作答,偶尔,否,18-22,89,5,4,5,6,5,5,4,4,3,2,,,
实验情境3,我同意并愿意继续作答,偶尔,否,28-32,171,5,4,6,4,6,4,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,243,6,5,4,4,7,5,6,4,7,5,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,140,5,6,5,4,5,4,5,6,5,5,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,126,6,7,6,6,5,6,2,4,5,7,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,203,6,7,7,6,5,4,4,4,7,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,23-27,113,5,6,4,6,6,5,5,5,2,4,,,
实验情境2,我同意并愿意继续作答,偶尔,是,18-22,111,3,5,4,6,5,7,4,7,5,3,,,
实验情境1,我同意并愿意继续作答,经常,是,23-27,206,6,6,5,6,6,5,6,4,6,7,,,
实验情境3,我同意并愿意继续作答,很少,否,33及以上,234,6,5,7,6,5,5,4,2,1,6,,,
实验情境4,我同意并愿意继续作答,很少,是,28-32,131,5,4,4,6,5,5,5,6,2,2,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,124,5,4,5,5,4,3,4,3,2,5,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,199,6,5,5,6,6,5,6,4,1,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,118,5,5,4,4,5,5,6,5,3,4,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,190,5,5,5,5,6,4,5,4,1,6,,,
实验情境1,我同意并愿意继续作答,非常频繁,是,23-27,225,6,6,6,5,6,4,6,5,6,5,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,133,5,5,4,6,4,5,4,4,2,3,,,
实验情境3,我同意并愿意继续作答,有时,否,28-32,202,6,7,6,6,5,5,4,3,3,5,,,
实验情境1,我同意并愿意继续作答,偶尔,否,28-32,271,5,5,7,5,6,3,3,4,6,5,,,
实验情境4,我同意并愿意继续作答,有时,是,23-27,93,4,6,4,5,5,4,7,4,1,1,,,
实验情境1,我同意并愿意继续作答,有时,否,33及以上,283,6,6,5,6,6,5,4,3,6,7,,,
实验情境1,我同意并愿意继续作答,经常,不确定,18-22,187,5,7,5,6,4,6,4,4,6,7,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,127,5,5,5,5,5,4,3,4,2,7,,,
实验情境1,我同意并愿意继续作答,很少,是,18-22,167,5,6,5,4,6,4,5,5,7,4,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,198,6,5,4,5,5,6,6,6,1,2,,,
实验情境3,我同意并愿意继续作答,很少,是,23-27,212,5,5,5,6,4,3,7,6,1,5,,,
实验情境2,我同意并愿意继续作答,有时,不确定,28-32,152,5,4,5,6,4,4,4,5,6,2,,,
实验情境1,我同意并愿意继续作答,有时,否,23-27,183,7,7,4,5,6,4,3,2,6,6,,,
实验情境3,我同意并愿意继续作答,偶尔,是,23-27,196,4,7,6,6,4,6,4,5,3,6,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,102,3,4,3,4,4,5,3,2,1,2,,,
实验情境3,我同意并愿意继续作答,有时,不确定,33及以上,166,5,6,4,6,3,4,4,2,1,6,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,232,6,6,4,4,6,5,6,5,6,7,,,
实验情境1,我同意并愿意继续作答,经常,不确定,18-22,121,6,5,7,6,6,4,4,4,5,5,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,264,5,6,5,5,5,4,5,4,6,7,,,
实验情境4,我同意并愿意继续作答,经常,是,28-32,126,4,4,6,4,5,5,5,6,2,3,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,190,4,5,5,4,5,4,4,4,2,6,,,
实验情境2,我同意并愿意继续作答,非常频繁,不确定,23-27,182,4,5,5,4,5,5,1,4,5,2,,,
实验情境1,我同意并愿意继续作答,经常,不确定,28-32,118,6,6,6,7,6,4,3,3,6,7,,,
实验情境4,我同意并愿意继续作答,偶尔,是,33及以上,114,4,4,3,5,4,5,6,4,2,1,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,187,6,5,5,6,5,5,4,5,7,4,,,
实验情境2,我同意并愿意继续作答,有时,否,28-32,159,4,5,6,5,5,4,4,4,6,2,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,238,6,7,7,5,5,5,4,5,6,7,,,
实验情境1,我同意并愿意继续作答,经常,是,18-22,126,6,5,6,7,6,6,5,6,6,7,,,
实验情境2,我同意并愿意继续作答,偶尔,否,33及以上,156,6,5,6,6,4,5,3,2,7,1,,,
实验情境3,我同意并愿意继续作答,经常,不确定,28-32,109,7,6,6,6,5,4,5,4,1,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,246,5,6,5,5,5,5,4,3,3,6,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,218,5,5,5,5,5,4,5,6,7,6,,,
实验情境3,我同意并愿意继续作答,非常频繁,不确定,18-22,140,7,6,4,6,4,4,4,5,2,5,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,184,6,7,5,6,6,3,3,4,1,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,28-32,141,3,4,5,4,3,3,3,3,1,5,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,122,5,4,5,6,5,2,4,6,1,4,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,138,6,5,5,5,6,5,3,4,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,123,5,4,6,5,6,4,5,4,6,4,,,
实验情境3,我同意并愿意继续作答,很少,否,18-22,106,6,6,5,4,5,4,4,2,1,5,,,
实验情境3,我同意并愿意继续作答,经常,不确定,33及以上,172,5,7,6,6,6,3,3,4,2,5,,,
实验情境2,我同意并愿意继续作答,有时,否,33及以上,181,6,6,6,6,5,6,5,3,7,3,,,
实验情境2,我同意并愿意继续作答,非常频繁,否,23-27,89,4,6,5,4,6,5,5,5,7,4,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,159,4,4,5,6,5,4,4,5,2,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,23-27,162,6,5,4,5,7,6,3,5,2,7,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,23-27,257,6,7,5,7,5,4,5,4,2,7,,,
实验情境4,我同意并愿意继续作答,很少,不确定,33及以上,157,5,4,5,5,5,5,3,4,2,3,,,
实验情境1,我同意并愿意继续作答,有时,不确定,33及以上,218,6,4,5,5,6,4,3,5,7,5,,,
实验情境1,我同意并愿意继续作答,有时,否,33及以上,207,6,5,5,6,7,4,3,3,5,6,,,
实验情境4,我同意并愿意继续作答,有时,不确定,23-27,137,4,3,5,5,5,2,3,4,1,3,,,
实验情境4,我同意并愿意继续作答,经常,否,33及以上,104,5,4,5,7,6,4,3,3,1,3,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,131,6,6,5,6,5,5,6,3,2,6,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,57,5,5,5,4,5,4,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,非常频繁,否,23-27,202,6,7,7,5,5,4,4,5,5,5,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,206,5,6,6,6,6,4,6,4,1,6,,,
实验情境1,我同意并愿意继续作答,有时,是,23-27,178,4,4,6,5,5,5,5,5,5,5,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,62,6,4,6,4,3,3,5,5,1,4,,,
实验情境1,我同意并愿意继续作答,经常,是,33及以上,225,6,6,6,6,6,3,5,4,6,6,,,
实验情境4,我同意并愿意继续作答,偶尔,是,18-22,92,4,6,5,4,5,5,6,3,1,2,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,159,4,5,4,4,4,4,4,5,2,5,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,175,6,4,4,7,6,6,4,5,5,6,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,118,5,4,4,5,6,4,4,4,2,5,,,
实验情境3,我同意并愿意继续作答,很少,是,18-22,191,5,6,4,5,6,4,6,5,1,6,,,
实验情境2,我同意并愿意继续作答,很少,是,23-27,109,5,5,4,5,4,4,3,5,6,1,,,
实验情境2,我同意并愿意继续作答,很少,否,33及以上,102,5,5,6,5,4,5,3,4,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,165,5,4,5,6,5,4,5,4,7,2,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,170,5,7,6,7,6,4,4,3,7,6,,,
实验情境3,我同意并愿意继续作答,偶尔,是,23-27,151,5,5,6,7,4,6,6,6,1,6,,,
实验情境4,我同意并愿意继续作答,经常,不确定,18-22,65,5,4,5,3,5,3,5,5,1,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,33及以上,116,4,5,6,5,5,4,2,5,3,5,,,
实验情境1,我同意并愿意继续作答,有时,不确定,33及以上,232,7,6,6,6,5,3,3,4,6,6,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,113,5,4,6,5,5,5,5,6,7,3,,,
实验情境4,我同意并愿意继续作答,经常,否,18-22,91,5,4,5,5,6,4,4,6,1,1,,,
实验情境3,我同意并愿意继续作答,有时,否,33及以上,116,5,5,5,5,5,4,4,2,2,6,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,137,5,6,5,6,6,4,4,2,3,3,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,217,5,6,6,6,6,4,5,4,6,5,,,
实验情境1,我同意并愿意继续作答,经常,是,33及以上,165,6,4,5,5,5,6,4,5,7,6,,,
实验情境3,我同意并愿意继续作答,经常,不确定,33及以上,186,6,6,7,6,5,6,3,4,1,6,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,181,5,6,5,7,5,3,3,5,6,2,,,
实验情境2,我同意并愿意继续作答,很少,否,33及以上,105,7,5,5,6,5,7,4,3,6,3,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,114,4,4,6,4,5,4,6,3,2,3,,,
实验情境4,我同意并愿意继续作答,很少,是,18-22,141,3,4,4,5,6,6,6,5,3,2,,,
实验情境3,我同意并愿意继续作答,有时,否,23-27,118,7,5,6,5,5,4,1,3,2,7,,,
实验情境4,我同意并愿意继续作答,很少,否,18-22,119,4,6,5,5,4,5,5,3,3,1,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,202,6,5,6,4,5,2,3,5,1,5,,,
实验情境4,我同意并愿意继续作答,很少,是,18-22,124,5,5,4,4,5,5,3,4,2,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,114,5,4,5,7,6,6,6,6,2,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,184,7,5,5,4,5,7,6,3,6,4,,,
实验情境2,我同意并愿意继续作答,偶尔,不确定,23-27,137,6,5,6,6,5,4,1,2,7,2,,,
实验情境2,我同意并愿意继续作答,非常频繁,是,18-22,149,4,6,4,5,5,5,4,5,7,4,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,138,4,5,4,6,5,6,4,3,1,2,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,176,4,6,6,5,5,5,5,5,2,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,33及以上,267,7,6,6,6,6,5,3,5,6,7,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,168,5,4,6,5,6,3,3,5,3,2,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,150,6,4,6,6,7,3,5,3,7,2,,,
实验情境4,我同意并愿意继续作答,偶尔,不确定,28-32,89,4,6,4,5,5,4,4,5,2,4,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,149,4,6,5,5,5,4,5,3,6,1,,,
实验情境2,我同意并愿意继续作答,有时,不确定,33及以上,159,6,6,5,6,6,4,4,2,7,3,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,192,7,6,7,5,5,6,4,5,7,7,,,
实验情境2,我同意并愿意继续作答,有时,是,18-22,94,6,5,4,4,4,5,4,2,7,3,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,248,5,4,6,6,6,5,6,4,1,6,,,
实验情境2,我同意并愿意继续作答,经常,是,18-22,129,7,5,5,6,7,5,4,4,6,3,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,117,4,2,4,4,3,4,5,4,1,2,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,146,5,5,6,5,6,5,3,4,1,7,,,
实验情境3,我同意并愿意继续作答,有时,不确定,18-22,175,6,5,6,5,4,4,4,4,1,6,,,
实验情境3,我同意并愿意继续作答,很少,否,33及以上,157,5,6,5,5,7,4,4,4,2,5,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,174,5,4,5,5,5,4,4,4,1,6,,,
实验情境4,我同意并愿意继续作答,有时,是,18-22,151,4,5,6,4,3,5,2,4,2,3,,,
实验情境2,我同意并愿意继续作答,有时,否,28-32,187,6,5,6,6,5,2,3,4,7,3,,,
实验情境1,我同意并愿意继续作答,偶尔,不确定,33及以上,138,5,5,5,6,7,4,2,5,6,6,,,
实验情境4,我同意并愿意继续作答,经常,否,23-27,149,4,5,5,6,5,4,4,4,1,3,,,
实验情境3,我同意并愿意继续作答,经常,不确定,18-22,206,6,6,5,6,6,6,3,3,2,6,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,181,6,3,5,6,6,5,3,5,3,6,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,163,4,5,7,6,6,5,3,5,1,5,,,
实验情境1,我同意并愿意继续作答,非常频繁,否,18-22,184,6,6,7,6,4,3,2,6,5,6,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,28-32,128,6,4,7,6,5,4,4,3,3,6,,,
实验情境2,我同意并愿意继续作答,偶尔,否,18-22,102,5,6,6,4,4,4,4,4,6,1,,,
实验情境4,我同意并愿意继续作答,偶尔,是,23-27,87,4,4,6,4,5,7,7,4,2,3,,,
实验情境4,我同意并愿意继续作答,偶尔,否,28-32,137,5,4,6,5,6,4,4,4,3,3,,,
实验情境2,我同意并愿意继续作答,偶尔,否,18-22,151,4,5,6,4,6,3,6,5,6,3,,,
实验情境1,我同意并愿意继续作答,偶尔,是,28-32,168,6,5,5,6,6,6,5,6,6,6,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,197,6,6,7,6,7,4,4,4,6,6,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,151,5,5,4,6,4,2,3,4,1,6,,,
实验情境4,我同意并愿意继续作答,偶尔,否,18-22,138,6,4,5,5,4,4,4,4,2,2,,,
实验情境3,我同意并愿意继续作答,经常,是,18-22,195,5,5,6,6,5,5,6,3,1,4,,,
实验情境4,我同意并愿意继续作答,非常频繁,否,23-27,159,5,7,6,6,4,5,2,4,1,2,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,182,6,6,6,5,7,3,3,5,6,6,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,128,5,6,5,4,4,6,6,6,7,2,,,
实验情境4,我同意并愿意继续作答,经常,不确定,18-22,121,3,4,4,5,4,3,2,5,2,2,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,186,7,7,6,5,6,4,5,4,6,5,,,
