随机元素,您是否同意参加本次研究？,您线上购买服饰的频率？,您是否购买过与 AI 相关的产品或服务？,您的年龄,如果由您决定，您最多愿意为这件 T-shirt 支付多少钱？（0-500）,我愿意为这件 T-shirt 支付较高的价格。,我认为这件 T-shirt 值得这个价格。,我认为这种设计来源是可靠的。,我相信这种设计来源能够完成高质量的产品设计。,总体而言，我信任这种设计来源,我对人工智能（AI）有基本了解,我平时经常接触 AI 工具或应用,我比较熟悉 AI 在产品设计中的应用,我认为这件 T-shirt 是由 AI 完成设计的。,我认为这件 T-shirt 属于附加价值较高的产品。,,,
实验情境2,我同意并愿意继续作答,非常频繁,不确定,33及以上,200,5,5,5,7,5,3,5,5,6,5,,,
实验情境2,我同意并愿意继续作答,偶尔,否,28-32,160,6,3,6,6,5,4,4,4,6,1,,,
实验情境3,我同意并愿意继续作答,经常,是,18-22,180,7,4,6,5,5,6,5,5,2,4,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,180,7,4,6,6,6,3,5,5,6,4,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,150,5,3,5,5,5,4,4,5,7,2,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,130,3,4,4,5,5,4,5,1,5,4,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,200,7,6,5,6,7,5,4,5,7,6,,,
实验情境3,我同意并愿意继续作答,经常,不确定,23-27,210,5,3,5,5,6,3,1,4,2,6,,,
实验情境1,我同意并愿意继续作答,有时,不确定,23-27,270,5,5,6,4,5,6,3,3,7,7,,,
实验情境4,我同意并愿意继续作答,经常,是,23-27,140,4,5,6,5,5,5,5,6,1,3,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,130,3,6,5,5,4,4,4,5,3,7,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,260,6,5,4,6,6,5,5,3,6,6,,,
实验情境3,我同意并愿意继续作答,有时,否,33及以上,160,6,5,4,4,4,5,4,2,1,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,230,6,6,6,6,6,5,3,4,7,6,,,
实验情境4,我同意并愿意继续作答,偶尔,是,18-22,140,2,5,6,4,5,4,4,5,1,3,,,
实验情境2,我同意并愿意继续作答,很少,是,33及以上,90,5,4,5,5,5,7,6,5,5,3,,,
实验情境2,我同意并愿意继续作答,很少,是,18-22,130,5,4,6,5,6,4,7,7,6,2,,,
实验情境1,我同意并愿意继续作答,经常,不确定,28-32,150,5,6,5,5,4,4,5,4,7,5,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,120,5,5,6,5,6,3,3,3,7,1,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,200,5,5,5,4,5,3,2,4,2,4,,,
实验情境2,我同意并愿意继续作答,很少,不确定,33及以上,130,5,5,6,5,5,3,4,6,7,1,,,
实验情境4,我同意并愿意继续作答,非常频繁,不确定,18-22,140,5,5,4,3,6,4,5,4,2,2,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,130,5,6,4,6,6,6,5,6,6,6,,,
实验情境2,我同意并愿意继续作答,非常频繁,否,18-22,170,5,4,5,5,5,3,3,5,7,4,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,180,5,5,6,5,5,5,7,6,2,5,,,
实验情境4,我同意并愿意继续作答,偶尔,是,28-32,150,3,5,5,4,5,5,6,5,2,3,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,210,5,5,7,5,5,4,2,4,1,6,,,
实验情境4,我同意并愿意继续作答,有时,是,28-32,140,5,4,4,6,5,6,4,5,2,2,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,110,5,5,4,6,6,4,3,3,3,5,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,210,6,5,6,4,5,2,5,4,6,2,,,
实验情境4,我同意并愿意继续作答,很少,不确定,18-22,160,5,5,4,6,5,1,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,260,7,7,7,7,6,4,6,5,6,6,,,
实验情境4,我同意并愿意继续作答,很少,否,33及以上,110,5,3,4,3,4,2,5,3,3,2,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,200,3,6,6,6,6,3,2,2,7,1,,,
实验情境4,我同意并愿意继续作答,经常,不确定,23-27,160,5,6,5,6,5,3,5,4,2,3,,,
实验情境1,我同意并愿意继续作答,偶尔,不确定,28-32,130,4,5,6,4,5,5,4,4,7,6,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,150,6,7,6,6,4,4,5,4,7,7,,,
实验情境2,我同意并愿意继续作答,偶尔,不确定,28-32,170,5,5,4,5,5,3,4,4,6,3,,,
实验情境2,我同意并愿意继续作答,偶尔,是,23-27,140,6,5,5,5,7,5,4,5,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,170,5,6,6,5,5,5,4,4,7,2,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,160,6,6,5,5,5,5,3,6,6,6,,,
实验情境2,我同意并愿意继续作答,有时,否,33及以上,130,5,5,5,5,6,4,3,4,5,2,,,
实验情境2,我同意并愿意继续作答,经常,不确定,33及以上,150,6,6,6,7,6,3,3,5,6,3,,,
实验情境2,我同意并愿意继续作答,偶尔,否,23-27,120,4,4,5,6,5,6,3,3,5,4,,,
实验情境4,我同意并愿意继续作答,经常,否,23-27,80,5,3,5,6,4,2,4,5,2,4,,,
实验情境1,我同意并愿意继续作答,有时,不确定,28-32,170,7,7,6,6,6,5,2,3,6,7,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,160,5,5,5,5,4,5,3,3,1,5,,,
实验情境4,我同意并愿意继续作答,偶尔,否,18-22,90,5,4,5,6,5,5,4,4,3,2,,,
实验情境3,我同意并愿意继续作答,偶尔,否,28-32,170,5,4,6,4,6,4,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,240,6,5,4,4,7,5,6,4,7,5,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,140,5,6,5,4,5,4,5,6,5,5,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,130,6,7,6,6,5,6,2,4,5,7,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,200,6,7,7,6,5,4,4,4,7,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,23-27,110,5,6,4,6,6,5,5,5,2,4,,,
实验情境2,我同意并愿意继续作答,偶尔,是,18-22,110,3,5,4,6,5,7,4,7,5,3,,,
实验情境1,我同意并愿意继续作答,经常,是,23-27,210,6,6,5,6,6,5,6,4,6,7,,,
实验情境3,我同意并愿意继续作答,很少,否,33及以上,230,6,5,7,6,5,5,4,2,1,6,,,
实验情境4,我同意并愿意继续作答,很少,是,28-32,130,5,4,4,6,5,5,5,6,2,2,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,120,5,4,5,5,4,3,4,3,2,5,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,200,6,5,5,6,6,5,6,4,1,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,120,5,5,4,4,5,5,6,5,3,4,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,190,5,5,5,5,6,4,5,4,1,6,,,
实验情境1,我同意并愿意继续作答,非常频繁,是,23-27,220,6,6,6,5,6,4,6,5,6,5,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,130,5,5,4,6,4,5,4,4,2,3,,,
实验情境3,我同意并愿意继续作答,有时,否,28-32,200,6,7,6,6,5,5,4,3,3,5,,,
实验情境1,我同意并愿意继续作答,偶尔,否,28-32,270,5,5,7,5,6,3,3,4,6,5,,,
实验情境4,我同意并愿意继续作答,有时,是,23-27,90,4,6,4,5,5,4,7,4,1,1,,,
实验情境1,我同意并愿意继续作答,有时,否,33及以上,280,6,6,5,6,6,5,4,3,6,7,,,
实验情境1,我同意并愿意继续作答,经常,不确定,18-22,190,5,7,5,6,4,6,4,4,6,7,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,130,5,5,5,5,5,4,3,4,2,7,,,
实验情境1,我同意并愿意继续作答,很少,是,18-22,170,5,6,5,4,6,4,5,5,7,4,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,200,6,5,4,5,5,6,6,6,1,2,,,
实验情境3,我同意并愿意继续作答,很少,是,23-27,210,5,5,5,6,4,3,7,6,1,5,,,
实验情境2,我同意并愿意继续作答,有时,不确定,28-32,150,5,4,5,6,4,4,4,5,6,2,,,
实验情境1,我同意并愿意继续作答,有时,否,23-27,180,7,7,4,5,6,4,3,2,6,6,,,
实验情境3,我同意并愿意继续作答,偶尔,是,23-27,200,4,7,6,6,4,6,4,5,3,6,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,100,3,4,3,4,4,5,3,2,1,2,,,
实验情境3,我同意并愿意继续作答,有时,不确定,33及以上,170,5,6,4,6,3,4,4,2,1,6,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,230,6,6,4,4,6,5,6,5,6,7,,,
实验情境1,我同意并愿意继续作答,经常,不确定,18-22,120,6,5,7,6,6,4,4,4,5,5,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,260,5,6,5,5,5,4,5,4,6,7,,,
实验情境4,我同意并愿意继续作答,经常,是,28-32,130,4,4,6,4,5,5,5,6,2,3,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,190,4,5,5,4,5,4,4,4,2,6,,,
实验情境2,我同意并愿意继续作答,非常频繁,不确定,23-27,180,4,5,5,4,5,5,1,4,5,2,,,
实验情境1,我同意并愿意继续作答,经常,不确定,28-32,120,6,6,6,7,6,4,3,3,6,7,,,
实验情境4,我同意并愿意继续作答,偶尔,是,33及以上,110,4,4,3,5,4,5,6,4,2,1,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,190,6,5,5,6,5,5,4,5,7,4,,,
实验情境2,我同意并愿意继续作答,有时,否,28-32,160,4,5,6,5,5,4,4,4,6,2,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,240,6,7,7,5,5,5,4,5,6,7,,,
实验情境1,我同意并愿意继续作答,经常,是,18-22,130,6,5,6,7,6,6,5,6,6,7,,,
实验情境2,我同意并愿意继续作答,偶尔,否,33及以上,160,6,5,6,6,4,5,3,2,7,1,,,
实验情境3,我同意并愿意继续作答,经常,不确定,28-32,110,7,6,6,6,5,4,5,4,1,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,250,5,6,5,5,5,5,4,3,3,6,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,220,5,5,5,5,5,4,5,6,7,6,,,
实验情境3,我同意并愿意继续作答,非常频繁,不确定,18-22,140,7,6,4,6,4,4,4,5,2,5,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,180,6,7,5,6,6,3,3,4,1,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,28-32,140,3,4,5,4,3,3,3,3,1,5,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,120,5,4,5,6,5,2,4,6,1,4,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,140,6,5,5,5,6,5,3,4,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,120,5,4,6,5,6,4,5,4,6,4,,,
实验情境3,我同意并愿意继续作答,很少,否,18-22,110,6,6,5,4,5,4,4,2,1,5,,,
实验情境3,我同意并愿意继续作答,经常,不确定,33及以上,170,5,7,6,6,6,3,3,4,2,5,,,
实验情境2,我同意并愿意继续作答,有时,否,33及以上,180,6,6,6,6,5,6,5,3,7,3,,,
实验情境2,我同意并愿意继续作答,非常频繁,否,23-27,90,4,6,5,4,6,5,5,5,7,4,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,160,4,4,5,6,5,4,4,5,2,6,,,
实验情境3,我同意并愿意继续作答,有时,不确定,23-27,160,6,5,4,5,7,6,3,5,2,7,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,23-27,260,6,7,5,7,5,4,5,4,2,7,,,
实验情境4,我同意并愿意继续作答,很少,不确定,33及以上,160,5,4,5,5,5,5,3,4,2,3,,,
实验情境1,我同意并愿意继续作答,有时,不确定,33及以上,220,6,4,5,5,6,4,3,5,7,5,,,
实验情境1,我同意并愿意继续作答,有时,否,33及以上,210,6,5,5,6,7,4,3,3,5,6,,,
实验情境4,我同意并愿意继续作答,有时,不确定,23-27,140,4,3,5,5,5,2,3,4,1,3,,,
实验情境4,我同意并愿意继续作答,经常,否,33及以上,100,5,4,5,7,6,4,3,3,1,3,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,130,6,6,5,6,5,5,6,3,2,6,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,60,5,5,5,4,5,4,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,非常频繁,否,23-27,200,6,7,7,5,5,4,4,5,5,5,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,210,5,6,6,6,6,4,6,4,1,6,,,
实验情境1,我同意并愿意继续作答,有时,是,23-27,180,4,4,6,5,5,5,5,5,5,5,,,
实验情境4,我同意并愿意继续作答,有时,否,23-27,60,6,4,6,4,3,3,5,5,1,4,,,
实验情境1,我同意并愿意继续作答,经常,是,33及以上,220,6,6,6,6,6,3,5,4,6,6,,,
实验情境4,我同意并愿意继续作答,偶尔,是,18-22,90,4,6,5,4,5,5,6,3,1,2,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,160,4,5,4,4,4,4,4,5,2,5,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,180,6,4,4,7,6,6,4,5,5,6,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,120,5,4,4,5,6,4,4,4,2,5,,,
实验情境3,我同意并愿意继续作答,很少,是,18-22,190,5,6,4,5,6,4,6,5,1,6,,,
实验情境2,我同意并愿意继续作答,很少,是,23-27,110,5,5,4,5,4,4,3,5,6,1,,,
实验情境2,我同意并愿意继续作答,很少,否,33及以上,100,5,5,6,5,4,5,3,4,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,160,5,4,5,6,5,4,5,4,7,2,,,
实验情境1,我同意并愿意继续作答,经常,否,18-22,170,5,7,6,7,6,4,4,3,7,6,,,
实验情境3,我同意并愿意继续作答,偶尔,是,23-27,150,5,5,6,7,4,6,6,6,1,6,,,
实验情境4,我同意并愿意继续作答,经常,不确定,18-22,60,5,4,5,3,5,3,5,5,1,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,33及以上,120,4,5,6,5,5,4,2,5,3,5,,,
实验情境1,我同意并愿意继续作答,有时,不确定,33及以上,230,7,6,6,6,5,3,3,4,6,6,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,110,5,4,6,5,5,5,5,6,7,3,,,
实验情境4,我同意并愿意继续作答,经常,否,18-22,90,5,4,5,5,6,4,4,6,1,1,,,
实验情境3,我同意并愿意继续作答,有时,否,33及以上,120,5,5,5,5,5,4,4,2,2,6,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,140,5,6,5,6,6,4,4,2,3,3,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,220,5,6,6,6,6,4,5,4,6,5,,,
实验情境1,我同意并愿意继续作答,经常,是,33及以上,160,6,4,5,5,5,6,4,5,7,6,,,
实验情境3,我同意并愿意继续作答,经常,不确定,33及以上,190,6,6,7,6,5,6,3,4,1,6,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,180,5,6,5,7,5,3,3,5,6,2,,,
实验情境2,我同意并愿意继续作答,很少,否,33及以上,100,7,5,5,6,5,7,4,3,6,3,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,110,4,4,6,4,5,4,6,3,2,3,,,
实验情境4,我同意并愿意继续作答,很少,是,18-22,140,3,4,4,5,6,6,6,5,3,2,,,
实验情境3,我同意并愿意继续作答,有时,否,23-27,120,7,5,6,5,5,4,1,3,2,7,,,
实验情境4,我同意并愿意继续作答,很少,否,18-22,120,4,6,5,5,4,5,5,3,3,1,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,200,6,5,6,4,5,2,3,5,1,5,,,
实验情境4,我同意并愿意继续作答,很少,是,18-22,120,5,5,4,4,5,5,3,4,2,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,18-22,110,5,4,5,7,6,6,6,6,2,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,180,7,5,5,4,5,7,6,3,6,4,,,
实验情境2,我同意并愿意继续作答,偶尔,不确定,23-27,140,6,5,6,6,5,4,1,2,7,2,,,
实验情境2,我同意并愿意继续作答,非常频繁,是,18-22,150,4,6,4,5,5,5,4,5,7,4,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,140,4,5,4,6,5,6,4,3,1,2,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,180,4,6,6,5,5,5,5,5,2,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,33及以上,270,7,6,6,6,6,5,3,5,6,7,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,170,5,4,6,5,6,3,3,5,3,2,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,150,6,4,6,6,7,3,5,3,7,2,,,
实验情境4,我同意并愿意继续作答,偶尔,不确定,28-32,90,4,6,4,5,5,4,4,5,2,4,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,150,4,6,5,5,5,4,5,3,6,1,,,
实验情境2,我同意并愿意继续作答,有时,不确定,33及以上,160,6,6,5,6,6,4,4,2,7,3,,,
实验情境1,我同意并愿意继续作答,偶尔,是,18-22,190,7,6,7,5,5,6,4,5,7,7,,,
实验情境2,我同意并愿意继续作答,有时,是,18-22,90,6,5,4,4,4,5,4,2,7,3,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,250,5,4,6,6,6,5,6,4,1,6,,,
实验情境2,我同意并愿意继续作答,经常,是,18-22,130,7,5,5,6,7,5,4,4,6,3,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,120,4,2,4,4,3,4,5,4,1,2,,,
实验情境3,我同意并愿意继续作答,经常,否,18-22,150,5,5,6,5,6,5,3,4,1,7,,,
实验情境3,我同意并愿意继续作答,有时,不确定,18-22,180,6,5,6,5,4,4,4,4,1,6,,,
实验情境3,我同意并愿意继续作答,很少,否,33及以上,160,5,6,5,5,7,4,4,4,2,5,,,
实验情境3,我同意并愿意继续作答,偶尔,否,18-22,170,5,4,5,5,5,4,4,4,1,6,,,
实验情境4,我同意并愿意继续作答,有时,是,18-22,150,4,5,6,4,3,5,2,4,2,3,,,
实验情境2,我同意并愿意继续作答,有时,否,28-32,190,6,5,6,6,5,2,3,4,7,3,,,
实验情境1,我同意并愿意继续作答,偶尔,不确定,33及以上,140,5,5,5,6,7,4,2,5,6,6,,,
实验情境4,我同意并愿意继续作答,经常,否,23-27,150,4,5,5,6,5,4,4,4,1,3,,,
实验情境3,我同意并愿意继续作答,经常,不确定,18-22,210,6,6,5,6,6,6,3,3,2,6,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,180,6,3,5,6,6,5,3,5,3,6,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,160,4,5,7,6,6,5,3,5,1,5,,,
实验情境1,我同意并愿意继续作答,非常频繁,否,18-22,180,6,6,7,6,4,3,2,6,5,6,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,28-32,130,6,4,7,6,5,4,4,3,3,6,,,
实验情境2,我同意并愿意继续作答,偶尔,否,18-22,100,5,6,6,4,4,4,4,4,6,1,,,
实验情境4,我同意并愿意继续作答,偶尔,是,23-27,90,4,4,6,4,5,7,7,4,2,3,,,
实验情境4,我同意并愿意继续作答,偶尔,否,28-32,140,5,4,6,5,6,4,4,4,3,3,,,
实验情境2,我同意并愿意继续作答,偶尔,否,18-22,150,4,5,6,4,6,3,6,5,6,3,,,
实验情境1,我同意并愿意继续作答,偶尔,是,28-32,170,6,5,5,6,6,6,5,6,6,6,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,200,6,6,7,6,7,4,4,4,6,6,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,150,5,5,4,6,4,2,3,4,1,6,,,
实验情境4,我同意并愿意继续作答,偶尔,否,18-22,140,6,4,5,5,4,4,4,4,2,2,,,
实验情境3,我同意并愿意继续作答,经常,是,18-22,200,5,5,6,6,5,5,6,3,1,4,,,
实验情境4,我同意并愿意继续作答,非常频繁,否,23-27,160,5,7,6,6,4,5,2,4,1,2,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,180,6,6,6,5,7,3,3,5,6,6,,,
实验情境2,我同意并愿意继续作答,经常,是,23-27,130,5,6,5,4,4,6,6,6,7,2,,,
实验情境4,我同意并愿意继续作答,经常,不确定,18-22,120,3,4,4,5,4,3,2,5,2,2,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,190,7,7,6,5,6,4,5,4,6,5,,,
